T10,Public Expenditure on Education (2021),,,
Region/Country/Area,,Year,Series,Value
528,Netherlands,2010,Capital expenditure as % of total expenditure in public institutions (%),11.9
528,Netherlands,2010,Basic access to computers by level of education: Primary,100
528,Netherlands,2010,Basic access to computers by level of education: Lower secondary,100
528,Netherlands,2010,Basic access to computers by level of education: Upper secondary,100
528,Netherlands,2010,Public expenditure on education (% of GDP),5.5
528,Netherlands,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.8
528,Netherlands,2015,All staff compensation as % of total expenditure in public institutions (%),67.8
528,Netherlands,2015,Capital expenditure as % of total expenditure in public institutions (%),11.4
528,Netherlands,2015,Basic access to computers by level of education: Primary,100
528,Netherlands,2015,Basic access to computers by level of education: Lower secondary,100
528,Netherlands,2015,Basic access to computers by level of education: Upper secondary,100
528,Netherlands,2015,Public expenditure on education (% of GDP),5.3
528,Netherlands,2018,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.1
528,Netherlands,2018,All staff compensation as % of total expenditure in public institutions (%),69.3
528,Netherlands,2018,Capital expenditure as % of total expenditure in public institutions (%),10.6
528,Netherlands,2018,Basic access to computers by level of education: Primary,100
528,Netherlands,2018,Basic access to computers by level of education: Lower secondary,100
528,Netherlands,2018,Basic access to computers by level of education: Upper secondary,100
528,Netherlands,2018,Public expenditure on education (% of GDP),5.4
528,Netherlands,2019,Basic access to computers by level of education: Primary,100
528,Netherlands,2019,Basic access to computers by level of education: Lower secondary,100
528,Netherlands,2019,Basic access to computers by level of education: Upper secondary,100
554,New Zealand,2005,Public expenditure on education (% of GDP),6.3
554,New Zealand,2010,Public expenditure on education (% of GDP),7
554,New Zealand,2015,Public expenditure on education (% of GDP),6.3
554,New Zealand,2018,Public expenditure on education (% of GDP),6
558,Nicaragua,2003,Public expenditure on education (% of GDP),2.4
558,Nicaragua,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),10.7
558,Nicaragua,2010,All staff compensation as % of total expenditure in public institutions (%),46.2
558,Nicaragua,2010,Capital expenditure as % of total expenditure in public institutions (%),11.4
558,Nicaragua,2010,Basic access to computers by level of education: Primary,6.2
558,Nicaragua,2010,Basic access to computers by level of education: Lower secondary,33
558,Nicaragua,2010,Public expenditure on education (% of GDP),4.5
558,Nicaragua,2015,Public expenditure on education (% of GDP),4.1
558,Nicaragua,2019,Public expenditure on education (% of GDP),3.4
562,Niger,2003,Public expenditure on education (% of GDP),1.9
562,Niger,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),14.2
562,Niger,2010,All staff compensation as % of total expenditure in public institutions (%),77.9
562,Niger,2010,Capital expenditure as % of total expenditure in public institutions (%),7.9
562,Niger,2010,Public expenditure on education (% of GDP),2.7
562,Niger,2013,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),15.3
562,Niger,2013,All staff compensation as % of total expenditure in public institutions (%),66
562,Niger,2013,Capital expenditure as % of total expenditure in public institutions (%),18.8
562,Niger,2013,Basic access to computers by level of education: Lower secondary,4
562,Niger,2013,Basic access to computers by level of education: Upper secondary,23
562,Niger,2013,Public expenditure on education (% of GDP),3.7
562,Niger,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),31.8
562,Niger,2015,All staff compensation as % of total expenditure in public institutions (%),56.3
562,Niger,2015,Capital expenditure as % of total expenditure in public institutions (%),11.9
562,Niger,2015,Basic access to computers by level of education: Primary,5.8
562,Niger,2015,Public expenditure on education (% of GDP),4.5
562,Niger,2017,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),25.8
562,Niger,2017,All staff compensation as % of total expenditure in public institutions (%),71.8
562,Niger,2017,Capital expenditure as % of total expenditure in public institutions (%),2.4
562,Niger,2017,Basic access to computers by level of education: Primary,2
562,Niger,2017,Public expenditure on education (% of GDP),2.6
